0,text,consulting,consumer_goods,,operations,leadership,business,research,military,Wealth_Management,strategy,banking,pharma,supply_chain,analytics,finance,analyst,,,,,,google,facebook,microsoft,amazon,,,internship
1,Developed strategic vision and implementation plan for high-growth consumer products client to deploy product-centric analytics across five business functions. Partnered with functional directors to roll out phase-one descriptive analytics.,1,,,,,1,,,,1,,,,1,,,,,,,,,,,,,,
2,Captured $6M growth through pricing actions in highly competitive consumer goods environment; partnered with marketing and sales to test price elasticity and implemented low-risk price increases across the US product portfolio,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,
3,"Recognized profitability information gap, built dynamic portfolio analysis tool, and trained users. Tool was used daily by marketing, sales, and finance and shared across several divisions. Nominated for 3M-wide Finance Beacon Award",,1,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Led team of operations and sales analysts to redesign demand planning process; applied lean thinking to eliminate 75% of manual touch points and improve demand plan accuracy by 18%.,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Partnered with operations to build business case for constructing new manufacturing facility to consolidate global production of $100M business. New facility reduced cycle time from 39 to 19 days and lowered unit cost by 17%.,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
6,"Identified attractive markets to drive long-term international growth; built quantitative prioritization model and worked with business managers to launch programs worth $120M in high-growth, high-margin segments and geographies.",,1,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Evaluated underperforming Argentina floor care business; worked with local team to model solutions and presented recommendation to executive leadership on accelerated timeline. Sold factory and improved COGS by 1800 basis points,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"Collaborated with corporate development and Brazil business team to build financial models for a business divestiture, plant closure, and asset sale. Presented recommendation to Executive Vice President",,1,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Created new structure to track and analyze $100M annual marketing investment; recognized opportunity and persuaded key stakeholders to implement process across all four Consumer divisions,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Built case for adding dedicated ecommerce teams in ten developing countries; worked with strategy and ecommerce experts to benchmark opportunity and persuade Managing Directors. Generated $8M first-year revenue growth,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
11,"Designed co-op and rebate accrual process for greater visibility to $130M budget; interviewed analysts to understand best practices, developed an automated process, and provided training to 15 employees to support implementation",,1,,,,,,,,,,,,,,,,,,,,,,,,,,
12,"Developed lean project prioritization tool to improve inventory turns; worked with supply chain managers to identify key issues, established metrics and weightings to prioritize opportunities. Improved business group inventory turns by 0.7",,1,,,,,,,,,,,,,,,,,,,,,,,,,,
13,"Co-led 3M finance recruiting at University of Minnesota, coordinated Summer internship program, and mentored interns",,1,,,,,,,,,,,,,,,,,,,,,,,,,,
14,"Designed a new feature for Google Classroom by performing user and market research, partnering with UX to produce mockups, working with engineering for scoping, getting buy-in from leadership on proposed strategic approach and MVP",,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,"Orchestrated launch of a new Google Forms feature: researched and built backlog of required tasks for successful launch, led the cross-functional team on weekly syncs, and ensured pre-launch buy-in from 11 stakeholders",,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,"Engaged regularly with users by attending partner meetings, conferences, and reaching out to educators",,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Reviewed the international release process for Alexa's Natural Language Understanding (NLU) model; coordinated the cross-team effort to reconcile process across over 10 countries achieving a significant decrease in release time,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,"Led the effort to upgrade the testing infrastructure for the release of Alexa's NLU model, decreasing test runtime by 50%",,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,"Oversaw weekly meetings to review the health of our systems, address urgent issues and prioritize improvements",,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Led the launch of infrastructure improvements in Europe and Japan to improve Amazon’s display advertising targeting,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,"Mentored employees through weekly meetings, development plans and performance reports",,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Guided the implementation of team processes to improve team productivity by 20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Developed functional specifications for a new initiative to help advertisers optimize ad performance by using forecasted data; identified user pain points and worked with designers to brainstorm solutions leveraging user research,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,"Wrote an internal press release with FAQs for the product, presented the plan to global business stakeholders, and secured approval; released the product to advertisers in November 2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Contributed to the launch of a new advertising product by gathering project requirements from eight Amazon teams; developed a project plan and executed it leading a team of two,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,"Coordinated the overhaul of the advertising campaigns metrics tracking system for Amazon vendors; directed the implementation work across three different engineering teams, ran the feature field test, and released the system worldwide
achieving improvements of search ads conversion rate",,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,"Designed and implemented the infrastructure and user interface to enable advertisers to visualize keyword traffic data at campaign creation, leading to a significant increase in eligible impressions per campaign in the US",,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Analyzed the advertising campaigns metrics tracking system and recommended next steps to stakeholders,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,"Developed and implemented several engineering projects; responsible for technical design, implementation, stakeholder management, testing and launch",,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,"Provided strategy consulting and fundraising support to 10+ Mini-Grid and 15+ Solar Home System (SHS) companies to scale their businesses in Nigeria, the world’s largest off-grid solar market",,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,"Designed go-to-market strategy for newly established SHS company, developing sales & distribution plan and product pricing; resulted in the signing of an exclusive distribution agreement with a leading Chinese SHS manufacturer",,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Worked directly with the management teams of four SHS developers to identify and address pain points in their business models; led deep-dive strategy sessions focused on distribution partnerships and product development,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,"Launched subsidiary in Côte d'Ivoire, supporting startup team of ten across multiple functions including operations, sales,
product development; electrified 1,000 homes in first three months of operations",,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,"Opened first four distribution centers across the country; recruited, trained and mentored 50 sales associates to expand our regional sales coverage",,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,"Led cross-border team of five to develop a new satellite TV kit, coordinating product design, market research, pricing strategy; launched just in time for the World Cup and became highest selling product",,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,"Executed equity investments in clean energy projects (solar PV, onshore wind, and landfill gas) throughout Europe",,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Negotiated sales and purchase agreement and managed due diligence (including site visit) for the fund’s first ever investment in a European solar project (£10M transaction).,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Identified key operational drivers and modeled various return scenarios to illustrate strong downside protection for a £350M portfolio; presented results to investment committee of three co-MDs and obtained approval.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,"Analyzed key risks and drafted credit memos for 30+ projects with broad sector (oil & gas, petrochemicals, gas power plants, offshore wind) and geographical (Americas and EMEA) focus",,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Advised consortium developing large-scale oil pipeline in Kenya; built complex financial model used as basis for negotiations with the government of Kenya,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Built dynamic tariff calculation model for a consortium bidding for a 600MW Danish offshore wind farm; optimizations ed to 20% reduction in bid price ($1.5B transaction),,,,,,,,,,,,,,,,,,,,,,,,,,,,
